"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[igloo]","Reporting Range=[Weekly]","Viewing=[6/20/21 - 6/26/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler",128,"B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","8.29%","5.00%","B08W3RKRKV","Igloo Polar Cooler Family","4.48%","2.99%","B08RJ45THJ","Plano Frost Cooler 21-Quart Capacity | Heavy-Duty Insulated Cooler Keeps Ice Up to 5 Days | for Tailgating, Camping and Outdoor Activities","4.38%","1.64%"
"Amazon.com","igloo cooler","1,407","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","19.76%","30.85%","B08W3RKRKV","Igloo Polar Cooler Family","8.12%","7.75%","B07PYHLBBR","Igloo IMX 70 Quart Lockable Insulated Ice Chest Roto-Molded Cooler with Carry Handles, Tan","5.03%","1.58%"
"Amazon.com","cooler with wheels","2,496","B08PL58LS2","Coleman Ice Chest | Coleman 316 Series Hard Coolers","10.47%","13.04%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","8.76%","12.29%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","7.63%","10.40%"
"Amazon.com","cooler wheels","7,832","B08PL58LS2","Coleman Ice Chest | Coleman 316 Series Hard Coolers","10.20%","7.06%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","7.88%","12.35%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","7.51%","10.00%"
"Amazon.com","igloo cooler with wheels","10,742","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","14.97%","34.00%","B01EAJJDY0","Igloo Trailmate Journey 70 Qt Cooler , Charcoal/Acid Green/Chrome","14.60%","3.00%","B08RLVKB7H","Igloo MaxCold 90qt Wheeled Roller, ash Gray","7.92%","8.00%"
"Amazon.com","ice chest cooler","15,031","B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","15.55%","22.22%","B08W3RKRKV","Igloo Polar Cooler Family","6.53%","4.44%","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","5.96%","0.00%"
"Amazon.com","electric cooler","15,516","B007ZYH4BM","Igloo 28 Quart Iceless Thermoelectric 12 Volt Portable Ice Chest Beverage Cooler, Silver","9.55%","8.85%","B01D3O9UB4","Electric Cooler and Warmer for Car and Home with Wheels - 48 Quart (45 Liter) Holds 60 Cans or 6 Two Liter Bottles and 15 Cans - Dual 110V AC House and 12V DC Vehicle Plugs","7.58%","13.27%","B07R6QXFMZ","SUPER DEAL Pro 28 Qt Portable Ice Cooler and Warmer Electric Ice Chest Mini Thermoelectric Dual Cooling Warming Plug in Car Refrigerator for Camping, Fishing, Work Beach Picnic","7.58%","2.65%"
"Amazon.com","rolling cooler","16,893","B006HFB5S8","Coleman 42-Can Soft Cooler with Removable Liner & Wheels","11.94%","24.32%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","10.26%","8.11%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","10.09%","11.71%"
"Amazon.com","hard cooler","20,023","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","13.22%","10.45%","B07R1CY27J","Arctic Zone Titan Deep Freeze 20Q Premium Ice Chest Roto Cooler with Microban Protection, Blue","8.74%","4.48%","B08X978KZH","RTIC Hard Cooler, Ice Chest with Heavy Duty Rubber Latches, 3 Inch Insulated Walls","7.16%","2.99%"
"Amazon.com","large cooler","26,130","B08W3RKRKV","Igloo Polar Cooler Family","34.83%","36.89%","B00165UHI8","Coleman 3000001526 150Qt Marine Cooler, White","12.68%","19.42%","B08LMVJJ9Q","Coleman Ice Chest | Coleman 316 Series Hard Coolers","12.68%","12.62%"
