"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[igloo]","Reporting Range=[Weekly]","Viewing=[6/27/21 - 7/3/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler",109,"B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","10.00%","6.01%","B08CVQ14LS","GARDRIT 60 Can Large Cooler Bag - Collapsible Insulated Lunch Box, Leakproof Cooler Bag Suitable for Camping, Picnic& Beach (39L/Grey)","7.25%","12.12%","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","6.95%","5.63%"
"Amazon.com","cooler with wheels","1,012","B08PL58LS2","Coleman Ice Chest | Coleman 316 Series Hard Coolers","12.48%","12.74%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","9.46%","17.22%","B0132VOWIY","Coleman 100 Quart XTREME 5 Day Cooler with Wheels and Handle, Extra ThermoZone Insulated that Holds Cold Longer for Wine and Water Drinks, Ideal for Party Grocery and Camping, CFCs HFCs and HCFCs FREE","8.96%","11.43%"
"Amazon.com","igloo cooler","1,464","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","15.57%","31.10%","B07R5QJ7NF","Igloo BMX 72 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 18.70 Pounds - Carbonite Gray and Blue","9.35%","6.91%","B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","7.98%","6.91%"
"Amazon.com","small cooler","4,651","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","28.61%","28.54%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","9.10%","13.78%","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","4.68%","3.15%"
"Amazon.com","water cooler","5,737","B01AKTFK6Y","Avalon Bottom Loading Water Cooler Water Dispenser with BioGuard- 3 Temperature Settings - Hot, Cold & Room Water, Durable Stainless Steel Construction, Anti-Microbial Coating- UL/Energy Star Approved","21.83%","30.08%","B07PPKBNBC","Frigidaire EFWC519 Stainless Steel Water Cooler/Dispenser","14.52%","18.80%","B000FDXEN2","Igloo 5 Gallon Portable Sports Cooler Water Beverage Dispenser with Flat Seat Lid, Bright Orange","8.44%","6.39%"
"Amazon.com","igloo cooler with wheels","7,800","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","19.07%","37.37%","B08RLVKB7H","Igloo MaxCold 90qt Wheeled Roller, ash Gray","8.95%","8.08%","B083SRDN3J","Marine Chest Cooler,70.0 qt. Cap.","7.88%","3.03%"
"Amazon.com","electric cooler","10,957","B07BDMY33Y","K-box Electric Cooler and Warmer with Wheels for Car and Home - 48 Quart (45 Liter) - 6 FT. EXTRA Long Cables Dual 110V AC House and 12V DC Vehicle Plugs (Blue)","13.19%","10.61%","B007ZYH4BM","Igloo 28 Quart Iceless Thermoelectric 12 Volt Portable Ice Chest Beverage Cooler, Silver","9.43%","12.12%","B08DPWTC1M","Lifestyle by Focus Electric Travel Cooler and Warmer for Car and Home - 27 Quart (25 Liter) Holds 30 Cans - Dual 110V AC House and 12V DC Vehicle Plugs","7.57%","13.64%"
"Amazon.com","ozark trail cooler","11,935","B01JTXYBTE","Ozark Trail 52-Quart High-Performance Cooler, Grey","19.06%","1.79%","B07QYHLV74","Ozark Trail 26-Quart High-Performance Cooler (Blue)","18.59%","5.36%","B08B6GWCLJ","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Green and Orange","7.25%","5.36%"
"Amazon.com","cooler ice packs","13,932","B0773FVRZY","Cooler Shock Reusable Ice Packs (Set of 4) - Long Lasting Cold Freezer Packs for Large Coolers & Lunch Bags - Compress for Knee Injuries, Back Pain Relief, Post-Surgery Accessories","18.68%","20.39%","B07YX8SBJK","Amazon Basics Reusable Hard Sided Rectangular Ice Pack, 6.5 X 4.3 X 1.2, Blue, Pack of 4","15.75%","19.10%","B08G2TY698","Igloo Maxcold Ice Block","7.88%","10.11%"
"Amazon.com","styrofoam cooler","15,030","B07Z3NF47Z","Bright Creations Large Craft Foam Block (17 x 11 in.)","15.06%","7.41%","B01NAM1TNA","Igloo 25 Quart Marine Contour, White","13.63%","8.64%","B00UZBCTK8","ICE AGE ON17F/2 Thermo Chill Overnite Containers (Pack of 2)","10.39%","8.64%"
"Amazon.com","ice chest cooler","15,184","B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","13.95%","16.67%","B08B6GWCLJ","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Green and Orange","10.51%","13.89%","B00GZQ80BE","Coleman Cooler| 16-Quart Portable Cooler |EZ-Clean Excursion Cooler Ideal for Picnics and Barbecues","7.31%","12.50%"
"Amazon.com","rolling cooler","15,587","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","12.81%","20.24%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","11.02%","16.67%","B07GDXXWK3","dbest products Ultra Compact Cooler Smart Cart, Moroccan Tile Insulated Collapsible Rolling Tailgate BBQ Beach Summer","6.85%","5.95%"
"Amazon.com","large cooler","19,132","B08W3RKRKV","Igloo Polar Cooler Family","39.67%","34.34%","B08LMVJJ9Q","Coleman Ice Chest | Coleman 316 Series Hard Coolers","7.93%","10.10%","B0132VOWIY","Coleman 100 Quart XTREME 5 Day Cooler with Wheels and Handle, Extra ThermoZone Insulated that Holds Cold Longer for Wine and Water Drinks, Ideal for Party Grocery and Camping, CFCs HFCs and HCFCs FREE","7.40%","9.09%"
"Amazon.com","hard cooler","20,404","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","11.87%","22.22%","B08X978KZH","RTIC Hard Cooler, Ice Chest with Heavy Duty Rubber Latches, 3 Inch Insulated Walls","9.85%","0.00%","B00GZQ80BE","Coleman Cooler| 16-Quart Portable Cooler |EZ-Clean Excursion Cooler Ideal for Picnics and Barbecues","5.24%","8.33%"
"Amazon.com","igloo cooler replacement parts","21,362","B094QSGWQ3","Cooler Hinge and Latch Set, High Strength Cooler Latch Replacement Parts.","16.82%","17.49%","B094QQHZY9","Cooler Replacement Parts Kit,Ice Chest Hinges,Threaded Cooler Drain Plug.","10.24%","10.53%","B0006FQJPY","Igloo Replacement Threaded Drain Plug","8.74%","8.32%"
"Amazon.com","wheeled cooler","27,477","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","9.38%","21.05%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","8.70%","15.79%","B08PL58LS2","Coleman Ice Chest | Coleman 316 Series Hard Coolers","6.08%","10.53%"
"Amazon.com","ice cooler","33,388","B00GZQ80BE","Coleman Cooler| 16-Quart Portable Cooler |EZ-Clean Excursion Cooler Ideal for Picnics and Barbecues","15.54%","16.67%","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","8.39%","9.52%","B077Y84VR9","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Carbonite Gray and Blue","7.02%","9.52%"
"Amazon.com","beach cooler with wheels","34,113","B078WH1S6H","Igloo Trailmate Journey 70 Qt Cooler, Canyon Brown/Riverbed Tan (00034298)","15.93%","2.44%","B07N1V6YXB","Wheeled Cooler with Inflatable Tires/ Perfect for The Beach","9.89%","0.00%","B07GDXXWK3","dbest products Ultra Compact Cooler Smart Cart, Moroccan Tile Insulated Collapsible Rolling Tailgate BBQ Beach Summer","7.69%","9.76%"
