"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[igloo]","Reporting Range=[Weekly]","Viewing=[5/30/21 - 6/5/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","igloo cooler","1,230","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","16.03%","19.68%","B071JPY74V","Igloo 34231 Trailmate Marine Wheeled Cooler, 70 Quart, White/Black/White/Chrome","8.45%","1.57%","B08W3RKRKV","Igloo Polar Cooler Family","7.03%","8.46%"
"Amazon.com","water cooler","5,742","B01AKTFK6Y","Avalon Bottom Loading Water Cooler Water Dispenser with BioGuard- 3 Temperature Settings - Hot, Cold & Room Water, Durable Stainless Steel Construction, Anti-Microbial Coating- UL/Energy Star Approved","18.91%","29.39%","B06XGK9ZF6","Farberware FW29919 Freestanding Hot and Cool Water Cooler Dispenser, Black","11.57%","11.18%","B096D4PR95","Igloo 5 Gallon Portable Sports Cooler Water Beverage Dispenser with Flat Seat Lid, Bright Orange","9.80%","7.03%"
"Amazon.com","small cooler","5,828","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","30.54%","40.09%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","6.32%","8.11%","B01N1V35UI","Igloo Profile 16 Quart Cooler","5.53%","4.28%"
"Amazon.com","igloo cooler with wheels","14,630","B071JPY74V","Igloo 34231 Trailmate Marine Wheeled Cooler, 70 Quart, White/Black/White/Chrome","17.32%","4.55%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","16.33%","40.91%","B08RLVKB7H","Igloo MaxCold 90qt Wheeled Roller, ash Gray","9.34%","6.06%"
"Amazon.com","cooler with wheels and handle","19,116","B01LZ88201","Coleman Xtreme 50-Quart Wheeled Cooler (Dark Blue)","9.94%","14.62%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","9.25%","18.46%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","8.38%","10.00%"
"Amazon.com","large cooler","24,058","B08W3RKRKV","Igloo Polar Cooler Family","40.96%","53.41%","B00I15BDPW","Coleman Company 120-Quart Cooler, Blue","8.15%","14.77%","B000G64FJK","Coleman 100 Quart Xtreme 5 Wheeled Cooler","5.67%","5.68%"
"Amazon.com","igloo cooler replacement parts","25,049","B002YMHGBI","Igloo Parts Kit for Ice Chests, White, 8.5 x 2 x 9","11.13%","11.29%","B08K8QTBP1","Toptimal Igloo Cooler Replacement Parts Kit, Igloo Ice Chest Plastic Hinges, Drain Plug, Latches and Screws Combo, Thicken Replacement Set for Igloo Cooler","9.90%","8.24%","B07YLFS3WB","NeverBreak Igloo Cooler Replacement Hinge & Latch Set | High Strength Igloo Replacement Parts | Set of 3 Cooler Hinges and 2 Cooler Latches","9.83%","8.94%"
"Amazon.com","hard cooler","29,421","B01N1V35UI","Igloo Profile 16 Quart Cooler","10.31%","25.71%","B083XZG5P8","REYLEO Cooler, Rotomolded Cooler 21-Quart, 30-Can, 3-Day Ice Retention, Heavy Duty Ice Chest, Built-in Bottle Opener, Cup Holder, Fishing Ruler, Drain Plug - Green","8.96%","8.57%","B077Y84VR9","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Carbonite Gray and Blue","7.32%","2.86%"
"Amazon.com","camping cooler","33,754","B0815YWFLR","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Green and Orange","15.59%","5.88%","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","15.48%","5.88%","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","7.57%","5.88%"
"Amazon.com","beach cooler with wheels","34,202","B071JPY74V","Igloo 34231 Trailmate Marine Wheeled Cooler, 70 Quart, White/Black/White/Chrome","14.75%","5.88%","B07H43SHHR","Arctic Zone Titan Deep Freeze 60 Can Rolling Cooler with All Terrain Cart, Moss, Titan 60 Can Rolling Cooler","13.50%","9.80%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","9.06%","9.80%"
