"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[coleman rolling ]","Reporting Range=[Weekly]","Viewing=[7/11/21 - 7/17/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler on wheels with handle","19,303","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","17.11%","28.29%","B07H43SHHR","Arctic Zone Titan Deep Freeze 60 Can Rolling Cooler with All Terrain Cart, Moss, Titan 60 Can Rolling Cooler","8.02%","11.18%","B019N9WQAK","Coleman Rolling Cooler | 62 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Blue","6.66%","6.58%"
"Amazon.com","wheeled cooler","34,274","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","17.13%","32.20%","B07H43SHHR","Arctic Zone Titan Deep Freeze 60 Can Rolling Cooler with All Terrain Cart, Moss, Titan 60 Can Rolling Cooler","9.07%","10.17%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","7.75%","5.08%"
"Amazon.com","camping cooler","51,130","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","28.38%","25.71%","B08B6GWCLJ","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Green and Orange","5.98%","8.57%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","5.81%","5.71%"
"Amazon.com","cooler with wheels and handle","128,456","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","13.52%","17.39%","B01NAXV3U4","dbest products Ultra Compact Cooler Smart Cart, Black Insulated Collapsible Rolling Tailgate BBQ Beach Summer","11.07%","13.04%","B019N9WQAK","Coleman Rolling Cooler | 62 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Blue","10.25%","8.70%"
"Amazon.com","5 day cooler","179,812","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","31.11%","33.33%","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","12.22%","11.11%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","8.89%","11.11%"
"Amazon.com","ice cooler with wheels","263,327","B00C4ZYYAG","Coleman 60 Quart Performance Wheeled Cooler","23.91%","44.44%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","16.30%","11.11%","B019N9WQAK","Coleman Rolling Cooler | 62 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Blue","14.13%","22.22%"
"Amazon.com","wheeled cooler with handle","297,999","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","24.76%","57.14%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","12.38%","0.00%","B07H43SHHR","Arctic Zone Titan Deep Freeze 60 Can Rolling Cooler with All Terrain Cart, Moss, Titan 60 Can Rolling Cooler","12.38%","0.00%"
"Amazon.com","coleman cooler with wheels","312,052","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","28.70%","33.33%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","22.22%","33.33%","B019N9WQAK","Coleman Rolling Cooler | 62 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Blue","8.33%","0.00%"
"Amazon.com","black cooler","329,074","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","36.89%","33.33%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","25.24%","44.44%","B07MTPP4YJ","ENGEL 13 Quart Compact Durable Ultimate Leak Proof Outdoor Dry Box Cooler in Black with Stain and Odor-Resistant Surface for 18 Cans or 12 lbs of Ice","13.59%","0.00%"
"Amazon.com","cooler for camping","340,126","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","38.27%","100.00%","B0000DH4LT","Coleman Performance Cooler, 48-Quart - Blue","14.81%","0.00%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","11.11%","0.00%"
"Amazon.com","50 qt cooler","399,468","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","30.86%","66.67%","B00AU6G4QS","Coleman Rolling Cooler | 50 Quart Xtreme 5 Day Cooler with Wheels | Wheeled Hard Cooler Keeps Ice Up to 5 Days, Black","18.52%","33.33%","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","17.28%","0.00%"
