"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[igloo]","Reporting Range=[Weekly]","Viewing=[7/4/21 - 7/10/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler",132,"B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","8.54%","7.11%","B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","7.57%","3.92%","B00GZQ80BE","Coleman Cooler| 16-Quart Portable Cooler |EZ-Clean Excursion Cooler Ideal for Picnics and Barbecues","7.23%","9.07%"
"Amazon.com","igloo cooler","1,132","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","16.26%","25.22%","B07R5QJ7NF","Igloo BMX 72 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 18.70 Pounds - Carbonite Gray and Blue","8.20%","4.87%","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","7.78%","7.74%"
"Amazon.com","small cooler","4,670","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","28.64%","32.64%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","7.50%","11.95%","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","5.71%","3.45%"
"Amazon.com","water cooler","5,976","B01AKTFK6Y","Avalon Bottom Loading Water Cooler Water Dispenser with BioGuard- 3 Temperature Settings - Hot, Cold & Room Water, Durable Stainless Steel Construction, Anti-Microbial Coating- UL/Energy Star Approved","21.50%","21.92%","B07PPKBNBC","Frigidaire EFWC519 Stainless Steel Water Cooler/Dispenser","8.80%","11.92%","B000FDXEN2","Igloo 5 Gallon Portable Sports Cooler Water Beverage Dispenser with Flat Seat Lid, Bright Orange","7.91%","4.62%"
"Amazon.com","ice pack for cooler","7,874","B07YX8SBJK","Amazon Basics Reusable Hard Sided Rectangular Ice Pack, 6.5 X 4.3 X 1.2, Blue, Pack of 4","15.90%","19.45%","B08G2TY698","Igloo Maxcold Ice Block","8.53%","9.82%","B06XH9GB75","Cooler Shock Reusable Ice Packs (Set of 3) - Long Lasting Cold Freezer Packs for Large Coolers & Lunch Bags - Compress for Knee Injuries, Back Pain Relief, Post-Surgery Accessories","8.22%","6.70%"
"Amazon.com","rolling cooler","12,697","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","13.79%","16.13%","B07GDXXWK3","dbest products Ultra Compact Cooler Smart Cart, Moroccan Tile Insulated Collapsible Rolling Tailgate BBQ Beach Summer","7.94%","12.90%","B00XWAR3YQ","Igloo 52 Qt Marine Ultra Quantum Roller , White","6.72%","2.15%"
"Amazon.com","electric cooler","15,221","B007ZYH4BM","Igloo 28 Quart Iceless Thermoelectric 12 Volt Portable Ice Chest Beverage Cooler, Silver","15.84%","20.51%","B07BDMY33Y","K-box Electric Cooler and Warmer with Wheels for Car and Home - 48 Quart (45 Liter) - 6 FT. EXTRA Long Cables Dual 110V AC House and 12V DC Vehicle Plugs (Blue)","12.55%","20.51%","B08J8D1XCC","Mobicool MT35W Thermoelectric Cooler - 34l Capacity, Holds 48 cans","8.17%","10.26%"
"Amazon.com","igloo cooler replacement parts","15,756","B094QSGWQ3","Cooler Hinge and Latch Set, High Strength Cooler Latch Replacement Parts.","20.94%","19.62%","B094QQHZY9","Cooler Replacement Parts Kit,Ice Chest Hinges,Threaded Cooler Drain Plug.","10.20%","11.19%","B002YMHGBI","Igloo Parts Kit for Ice Chests, White, 8.5 x 2 x 9","8.06%","7.85%"
"Amazon.com","cooler on wheels with handle","17,086","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","15.34%","20.18%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","8.00%","9.65%","B07GDXXWK3","dbest products Ultra Compact Cooler Smart Cart, Moroccan Tile Insulated Collapsible Rolling Tailgate BBQ Beach Summer","6.03%","11.40%"
"Amazon.com","igloo cooler with wheels","20,277","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","25.22%","39.29%","B00XWAR3YQ","Igloo 52 Qt Marine Ultra Quantum Roller , White","9.42%","17.86%","B08RLVKB7H","Igloo MaxCold 90qt Wheeled Roller, ash Gray","8.79%","7.14%"
"Amazon.com","large cooler","22,312","B08W3RKRKV","Igloo Polar Cooler Family","34.36%","28.24%","B00165UHI8","Coleman 3000001526 150Qt Marine Cooler, White","8.88%","7.06%","B0132VOWIY","Coleman 100 Quart XTREME 5 Day Cooler with Wheels and Handle, Extra ThermoZone Insulated that Holds Cold Longer for Wine and Water Drinks, Ideal for Party Grocery and Camping, CFCs HFCs and HCFCs FREE","8.64%","12.94%"
"Amazon.com","cooler wheels","24,367","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","13.38%","23.64%","B0132VOWIY","Coleman 100 Quart XTREME 5 Day Cooler with Wheels and Handle, Extra ThermoZone Insulated that Holds Cold Longer for Wine and Water Drinks, Ideal for Party Grocery and Camping, CFCs HFCs and HCFCs FREE","6.34%","9.09%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","5.63%","9.09%"
"Amazon.com","hard cooler","24,635","B07R1CY27J","Arctic Zone Titan Deep Freeze 20Q Premium Ice Chest Roto Cooler with Microban Protection, Blue","12.24%","4.88%","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","9.60%","21.95%","B08X978KZH","RTIC Hard Cooler, Ice Chest with Heavy Duty Rubber Latches, 3 Inch Insulated Walls","8.44%","2.44%"
"Amazon.com","wheeled cooler","24,949","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","12.96%","30.00%","B073GNXQ4C","Milee-Heavy Duty Wheeled Cooler 70QT (Sea Foam Green) ($50.0 Accessories Included) with Free Divider,Basket and Cup Holder","6.01%","0.00%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","4.98%","0.00%"
"Amazon.com","rotomolded cooler","25,091","B08X978KZH","RTIC Hard Cooler, Ice Chest with Heavy Duty Rubber Latches, 3 Inch Insulated Walls","11.49%","16.67%","B084ZTC2WR","Coastland Delta Series Rotomolded Coolers | Premium Everyday Use Insulated Cooler | Ice Chest available in 25-Quart, 45-Quart, 65-Quart and 125-Quart Capacity","10.71%","0.00%","B07G9QSYQK","Igloo BMX 25 Quart Cooler with Cool Riser Technology, White","8.42%","5.56%"
"Amazon.com","styrofoam cooler","26,576","B00UZBCTK8","ICE AGE ON17F/2 Thermo Chill Overnite Containers (Pack of 2)","16.91%","17.14%","B01NAM1TNA","Igloo 25 Quart Marine Contour, White","12.43%","5.71%","B08Y6SQLC8","GREENLID 30 Can Biodegradable Cooler, 1 EA","9.05%","7.14%"
"Amazon.com","ice chest cooler","26,968","B08B6ZDFL4","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Sandstone and Red","16.05%","9.38%","B08B6GWCLJ","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Green and Orange","9.81%","9.38%","B00GZQ80BE","Coleman Cooler| 16-Quart Portable Cooler |EZ-Clean Excursion Cooler Ideal for Picnics and Barbecues","9.02%","9.38%"
"Amazon.com","12 volt cooler","40,741","B007ZYH4BM","Igloo 28 Quart Iceless Thermoelectric 12 Volt Portable Ice Chest Beverage Cooler, Silver","19.46%","9.52%","B08DPWTC1M","Lifestyle by Focus Electric Travel Cooler and Warmer for Car and Home - 27 Quart (25 Liter) Holds 30 Cans - Dual 110V AC House and 12V DC Vehicle Plugs","10.30%","14.29%","B08BJT3LYP","Domende 54qt Car Refrigerator Freezer 12 volt Cooler Electric Compressor Cooler Car Fridge for Car Truck Vehicle RV Boat Outdoor and Home use 12/24V DC and 90-250 AC,Cooling to -4F","8.32%","0.00%"
